Fungi,Function,Plant,Module,Connection,RootSample
OTU97_1027,EcM,Ilex_macropoda,7,1,11
OTU97_1431,Unknown,Ilex_macropoda,7,1,11
OTU97_1981,Unknown,Ilex_macropoda,7,1,11
OTU97_71,Unknown,Ilex_macropoda,7,1,11
OTU97_1303,Unknown,Ilex_macropoda,7,1,11
OTU97_1265,Unknown,Ilex_macropoda,7,1,11
OTU97_937,Unknown,Ilex_macropoda,7,1,11
OTU97_761,Unknown,Ilex_macropoda,7,1,11
OTU97_517,Unknown,Ilex_macropoda,7,3,11
OTU97_93,Unknown,Ilex_macropoda,7,1,11
OTU97_1959,Unknown,Ilex_macropoda,7,3,11
OTU97_1177,EcM,Ilex_macropoda,7,2,11
OTU97_447,Unknown,Ilex_macropoda,7,2,11
OTU97_1983,Unknown,Ilex_macropoda,7,1,11
OTU97_2115,Unknown,Ilex_macropoda,7,9,11
OTU97_1101,Unknown,Ilex_pedunculosa,4,1,65
OTU97_125,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1325,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1345,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1697,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1745,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1795,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1869,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1893,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1903,Unknown,Ilex_pedunculosa,4,1,65
OTU97_2019,Unknown,Ilex_pedunculosa,4,1,65
OTU97_2069,Unknown,Ilex_pedunculosa,4,1,65
OTU97_2149,Unknown,Ilex_pedunculosa,4,1,65
OTU97_2203,Unknown,Ilex_pedunculosa,4,1,65
OTU97_2255,Unknown,Ilex_pedunculosa,4,1,65
OTU97_507,Unknown,Ilex_pedunculosa,4,1,65
OTU97_509,Unknown,Ilex_pedunculosa,4,1,65
OTU97_757,Unknown,Ilex_pedunculosa,4,1,65
OTU97_903,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1205,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1403,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1581,Unknown,Ilex_pedunculosa,4,1,65
OTU97_159,Unknown,Ilex_pedunculosa,4,2,65
OTU97_2381,Unknown,Ilex_pedunculosa,4,1,65
OTU97_355,Unknown,Ilex_pedunculosa,4,1,65
OTU97_461,Unknown,Ilex_pedunculosa,4,1,65
OTU97_833,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1245,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1327,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1375,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1621,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1937,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1981,Unknown,Ilex_pedunculosa,4,1,65
OTU97_267,Unknown,Ilex_pedunculosa,4,1,65
OTU97_569,AM,Ilex_pedunculosa,4,2,65
OTU97_1275,Unknown,Ilex_pedunculosa,4,2,65
OTU97_1279,Unknown,Ilex_pedunculosa,4,1,65
OTU97_1315,EcM,Ilex_pedunculosa,4,1,65
OTU97_1355,Unknown,Ilex_pedunculosa,4,1,65
OTU97_2315,Unknown,Ilex_pedunculosa,4,3,65
